City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,Lachhmangarh,IN,87.44,broken clouds,27.8214,75.0251,Laxmi Hotel
586,Bourail,NC,80.4,clear sky,-21.5667,165.4833,Motel Allamanda
588,Kampong Chhnang,KH,80.11,overcast clouds,12.1667,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
589,Harrison,US,78.82,few clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
592,Bandarbeyla,SO,79.99,scattered clouds,9.4942,50.8122,JABIR HOTEL
594,Sapa,PH,85.78,broken clouds,5.1544,120.3241,
595,Cravo Norte,CO,75.72,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
599,Gorontalo,ID,84.96,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
602,Barabai,ID,85.89,clear sky,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
605,Det Udom,TH,76.82,overcast clouds,14.906,105.0784,Chatsuda Resort
613,Samarai,PG,80.04,overcast clouds,-10.6167,150.6667,Nuli Sapi
614,Shingu,JP,85.19,overcast clouds,33.7333,135.9833,Shingu UI Hotel
615,Terrasini,IT,79.43,clear sky,38.146,13.0844,Florio Park Hotel
617,Meulaboh,ID,80.38,overcast clouds,4.1363,96.1285,Kost Pria
620,Ushtobe,KZ,85.37,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
626,Namuac,PH,85.28,overcast clouds,18.6109,121.1657,Mlin Hotel
629,Bontang,ID,83.25,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
633,Venice,US,82.98,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
635,Kaseda,JP,85.23,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
636,Kulhudhuffushi,MV,79.83,light rain,6.6221,73.07,Hondaafushi Island Resort
638,Balotra,IN,84.42,overcast clouds,25.8333,72.2333,Hotel City Square
639,Babu,CN,87.57,scattered clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
640,Cairns,AU,84.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
641,Dunmore Town,BS,82.35,overcast clouds,25.5,-76.65,Coral Sands Hotel
647,Marawi,PH,82.45,few clouds,7.9986,124.2928,Derogongan Residence
649,Gotsu,JP,82.54,overcast clouds,35.0,132.2167,Yurusato
650,Bubaque,GW,78.08,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
651,Escanaba,US,76.96,clear sky,45.7453,-87.0646,Sunset Lodge
658,Matay,EG,76.26,clear sky,28.419,30.7792,Nag Aespen
662,Presidencia Roque Saenz Pena,AR,78.44,scattered clouds,-26.7852,-60.4388,Hotel Gualok
664,Phultala,BD,83.95,overcast clouds,22.7,89.5167,Shuvra enterprise& cafe
665,Huilong,CN,79.03,light rain,31.8111,121.655,Hilton Garden Inn Qidong
666,Pamanukan,ID,82.24,clear sky,-6.2842,107.8106,Paris Day Hotel Pamanukan
668,Nalut,LY,78.76,clear sky,30.3333,10.85,
670,Jingdezhen,CN,86.16,light rain,29.2947,117.2079,Garden Hotel
671,Delray Beach,US,82.99,few clouds,26.4615,-80.0728,Opal Grand Resort
673,Funadhoo,MV,81.09,moderate rain,6.15,73.2667,Dhaffalhu Tourist Lodge
677,Padang,ID,82.45,broken clouds,-0.9492,100.3543,Mercure Padang
681,Baloda,IN,76.91,overcast clouds,22.15,82.4833,Ganesh Anand Catering services Baloda
684,Beidao,CN,75.76,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
688,Ternate,ID,83.95,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
689,Itacoatiara,BR,80.11,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
